# インポート用テンプレート
# 使い方:
#   1. ワクワク列に利用可能なワクワくの実の名前を入力してください
#   2. 不要な行は削除してください
#   3. 保存後、アカウントページの「インポート」ボタンからアップロードしてください
# 利用可能なワクワくの実: 同族・加撃, 同族・加撃速, 同族・加命撃, 同族・加速, 同族・加命, 同族・加速命, 撃種・加撃, 撃種・加撃速, 撃種・加命撃, 撃種・加速, 撃種・加命, 撃種・加速命, 戦型・加撃, 戦型・加撃速, 戦型・加命撃, 戦型・加速, 戦型・加命, 戦型・加速命, 熱き友撃, ケガ減り, 将命削り, 兵命削り, 一撃失心, 速必殺, 毒がまん, ちび癒し, ハート, 学び, 荒稼ぎ, スピクリ, Sランク, スコア稼ぎ
図鑑No,名前,属性,種類,アカウント,わくわく1,わくわく2,わくわく3
191,"アグナムート",火,限定,,,,
193,"スサノオ",水,恒常,,,,
195,"ハンターキング",木,恒常,,,,
197,"ストライク",光,限定,,,,
199,"ワールド",闇,恒常,,,,
256,"ハーレー",闇,恒常,,,,
257,"ハーレーX",闇,限定,,,,
260,"アポロ",火,恒常,,,,
268,"エクリプス",闇,恒常,,,,
280,"アグナムートX",火,限定,,,,
284,"ランスロット",水,恒常,,,,
286,"マーリン",木,恒常,,,,
288,"アーサー",光,恒常,,,,
303,"真田幸村",火,恒常,,,,
311,"織田信長",闇,恒常,,,,
326,"水輝ナナミ",水,恒常,,,,
330,"螢光院ヒカリ",光,恒常,,,,
348,"コルセア",木,恒常,,,,
352,"モンタナ",闇,恒常,,,,
364,"アポロX",木,限定,,,,
368,"織田信長X",水,限定,,,,
374,"ランスロットX",火,限定,,,,
383,"オーディン",水,恒常,,,,
386,"ヴァルキリー",木,恒常,,,,
389,"ゼウス",光,恒常,,,,
409,"リン・ツー",火,恒常,,,,
415,"ロイゼ",光,恒常,,,,
437,"ウォッカ",火,恒常,,,,
439,"テキーラ",水,恒常,,,,
442,"ギムレット",木,恒常,,,,
459,"赤ずきん ノンノ",火,恒常,,,,
462,"ローレライ",水,恒常,,,,
469,"ハーメルン",闇,恒常,,,,
484,"坂本龍馬",火,恒常,,,,
489,"おりょう",木,恒常,,,,
494,"西郷隆盛",闇,恒常,,,,
510,"アリス",闇,限定,,,,
512,"桜木リリィ",火,恒常,,,,
517,"トニー緑川",木,恒常,,,,
520,"フィリップ金光",光,恒常,,,,
559,"ナポレオン",水,限定,,,,
566,"ヴェルダンディ",水,恒常,,,,
569,"ユグドラシル",木,恒常,,,,
574,"ロキ",闇,恒常,,,,
589,"オシリス",火,恒常,,,,
592,"アヌビス",水,恒常,,,,
597,"ラー",光,恒常,,,,
623,"ベルフェゴール",木,恒常,,,,
626,"ベルゼブブ",光,恒常,,,,
629,"サタン",闇,恒常,,,,
660,"服部半蔵",火,恒常,,,,
663,"霧隠才蔵",水,恒常,,,,
670,"猿飛佐助",闇,恒常,,,,
692,"ブラフマー",火,恒常,,,,
695,"カーリー",水,恒常,,,,
698,"パールヴァティ",木,恒常,,,,
724,"アテナ",水,恒常,,,,
727,"ヘラクレス",木,恒常,,,,
732,"ハデス",闇,恒常,,,,
760,"ベートーヴェン",火,恒常,,,,
765,"バッハ",木,恒常,,,,
768,"モーツァルト",光,恒常,,,,
788,"武田信玄",火,恒常,,,,
791,"上杉謙信",水,恒常,,,,
798,"徳川家康",闇,恒常,,,,
825,"チンギス・ハン",木,限定,,,,
833,"ラプンツェル",水,恒常,,,,
836,"白雪姫リボン",木,恒常,,,,
839,"アラジン",光,恒常,,,,
871,"クレオパトラ",光,限定,,,,
890,"ミカエル",火,限定,,,,
893,"ラファエル",水,限定,,,,
899,"桜木イヴ",火,恒常,,,,
902,"ジェラルド・G・蒼野",水,恒常,,,,
907,"機光院チヨ",光,恒常,,,,
929,"ウリエル",光,限定,,,,
969,"ジャンヌ・ダルク",闇,限定,,,,
974,"ギルガメッシュ",火,恒常,,,,
979,"クー・フーリン",木,恒常,,,,
984,"ジークフリート",闇,恒常,,,,
1001,"シリウス",水,恒常,,,,
1004,"デネブ",木,恒常,,,,
1007,"スピカ",光,恒常,,,,
1030,"ルシファー",闇,限定,,,,
1039,"張飛",火,恒常,,,,
1042,"関羽",水,恒常,,,,
1047,"劉備",光,恒常,,,,
1069,"アトス",火,恒常,,,,
1072,"アラミス",木,恒常,,,,
1075,"ポルトス",闇,恒常,,,,
1102,"サラマンダー",火,恒常,,,,
1105,"ウンディーネ",水,恒常,,,,
1112,"ケット・シー",闇,恒常,,,,
1129,"式神 出雲",水,恒常,,,,
1132,"茨木童子",木,恒常,,,,
1135,"安倍晴明",光,恒常,,,,
1155,"シンデレラ",火,恒常,,,,
1160,"ガリバー",木,恒常,,,,
1165,"おやゆび姫ティアラ",闇,恒常,,,,
1191,"ロミオ",水,恒常,,,,
1194,"ジュリエット",光,恒常,,,,
1197,"オセロー",闇,恒常,,,,
1224,"孫悟空",火,恒常,,,,
1229,"猪八戒",木,恒常,,,,
1232,"三蔵法師",光,恒常,,,,
1249,"天草四郎",水,限定,,,,
1256,"鈴蘭",水,恒常,,,,
1259,"蒲公英",木,恒常,,,,
1262,"桜",闇,恒常,,,,
1286,"アスカ＆2号機",火,コラボ,,,,
1288,"シンジ＆初号機",水,コラボ,,,,
1294,"レイ＆零号機",光,コラボ,,,,
1312,"ビリー・ザ・キッド",木,恒常,,,,
1315,"怪傑 ゾロ",光,恒常,,,,
1318,"ねずみ小僧",闇,恒常,,,,
1341,"静御前",火,恒常,,,,
1346,"武蔵坊弁慶",木,恒常,,,,
1351,"源義経",闇,恒常,,,,
1387,"卑弥呼",火,限定,,,,
1392,"シンドバッド",水,恒常,,,,
1395,"シェヘラザード",木,恒常,,,,
1400,"アリババ",闇,恒常,,,,
1420,"春麗",水,コラボ,,,,
1422,"ガイル",木,コラボ,,,,
1424,"リュウ",光,コラボ,,,,
1439,"プロメテウス",火,恒常,,,,
1446,"ヘラ",光,恒常,,,,
1449,"クロノス",闇,恒常,,,,
1482,"テキーラα",火,α,,,,
1485,"ノンノα",水,α,,,,
1488,"サタンα",木,α,,,,
1514,"蛙の王子 ケロン",木,恒常,,,,
1517,"ドロシー",光,恒常,,,,
1520,"マッドハッター",闇,恒常,,,,
1536,"ナスカ",火,恒常,,,,
1539,"アトランティス",水,恒常,,,,
1542,"ムー",光,恒常,,,,
1556,"ブリュンヒルデ",火,恒常,,,,
1561,"ニーベルンゲン",木,恒常,,,,
1566,"トール",闇,恒常,,,,
1590,"妲己",闇,限定,,,,
1593,"茨木童子α",水,α,,,,
1596,"白雪姫リボンα",光,α,,,,
1599,"ベートーヴェンα",闇,α,,,,
1632,"ガリレオ",火,恒常,,,,
1635,"ゲンナイ",水,恒常,,,,
1638,"アルキメデス",木,恒常,,,,
1667,"レイ×天草四郎",水,コラボ,,,,
1671,"アスカ×ウリエル",光,コラボ,,,,
1673,"カヲル×ルシファー",闇,コラボ,,,,
1683,"デッドラビッツLtd.",木,限定,,,,
1686,"ルビー",火,恒常,,,,
1691,"エメラルド",木,恒常,,,,
1694,"ダイヤモンド",光,恒常,,,,
1718,"ジキル＆ハイド",闇,限定,,,,
1733,"ダルタニャン",水,限定,,,,
1742,"ガブリエル",木,限定,,,,
1745,"神威",光,限定,,,,
1752,"曹操",火,恒常,,,,
1755,"周瑜",水,恒常,,,,
1762,"大喬小喬",闇,恒常,,,,
1777,"雪の女王フリーズ",水,恒常,,,,
1780,"ドン・キホーテ",光,恒常,,,,
1783,"ファントム",闇,恒常,,,,
1802,"アザゼル",火,恒常,,,,
1807,"マモン",木,恒常,,,,
1810,"サキュバス",光,恒常,,,,
1834,"ケン",火,コラボ,,,,
1837,"レインボー・ミカ",水,コラボ,,,,
1839,"キャミィ",木,コラボ,,,,
1855,"佐々木小次郎",水,恒常,,,,
1860,"宮本武蔵",光,恒常,,,,
1863,"柳生十兵衛",闇,恒常,,,,
1886,"ラザニー",火,恒常,,,,
1889,"ナチョス",木,恒常,,,,
1892,"ショコラ",闇,恒常,,,,
1908,"ヤタガラス",水,恒常,,,,
1911,"アメノウズメ",木,恒常,,,,
1914,"タケミカヅチ",光,恒常,,,,
1936,"ロビン・フッド",木,限定,,,,
1939,"ダリア",火,恒常,,,,
1942,"アイリス",水,恒常,,,,
1945,"ローザ",闇,恒常,,,,
1964,"白鳥星座の氷河",水,コラボ,,,,
1966,"龍星座の紫龍",木,コラボ,,,,
1968,"天馬星座の星矢",光,コラボ,,,,
2005,"スキッティ",火,恒常,,,,
2008,"リコル",光,恒常,,,,
2011,"ベルスター",闇,恒常,,,,
2030,"ナタ",火,恒常,,,,
2033,"太公望",水,恒常,,,,
2036,"楊セン",木,恒常,,,,
2054,"ノア",水,限定,,,,
2057,"天叢雲",木,恒常,,,,
2060,"ゲイボルグ",光,恒常,,,,
2063,"イージス",闇,恒常,,,,
2083,"ウルトラマンタロウ",火,コラボ,,,,
2085,"ウルトラセブン",水,コラボ,,,,
2089,"ウルトラマン",光,コラボ,,,,
2119,"前田慶次",火,恒常,,,,
2122,"豊臣秀吉",木,恒常,,,,
2125,"茶々",闇,恒常,,,,
2142,"キスキル・リラ",光,限定,,,,
2148,"ポセイドン",水,恒常,,,,
2151,"ペルセポネ",木,恒常,,,,
2154,"アレス",闇,恒常,,,,
2171,"スパイダーマン",火,コラボ,,,,
2174,"キャプテン・アメリカ",水,コラボ,,,,
2178,"アイアンマン",光,コラボ,,,,
2213,"葛飾北斎",木,恒常,,,,
2216,"レンブラント",光,恒常,,,,
2219,"ゴッホ",闇,恒常,,,,
2241,"ナイチンゲール",木,限定,,,,
2251,"アンデルセン",水,恒常,,,,
2254,"シェイクスピア",木,恒常,,,,
2257,"ダンテ",闇,恒常,,,,
2280,"珊瑚",火,恒常,,,,
2283,"瑠璃",水,恒常,,,,
2286,"真珠",光,恒常,,,,
2305,"浦飯幽助",水,コラボ,,,,
2307,"蔵馬",木,コラボ,,,,
2312,"飛影",闇,コラボ,,,,
2330,"諸葛亮",木,恒常,,,,
2333,"趙雲",光,恒常,,,,
2336,"孫尚香",闇,恒常,,,,
2367,"岩融",火,恒常,,,,
2370,"ミョルニル",木,恒常,,,,
2373,"如意棒",光,恒常,,,,
2397,"パンドラ",闇,限定,,,,
2404,"メイ",火,恒常,,,,
2407,"オズ",水,恒常,,,,
2410,"ヘンゼル＆グレーテル",木,恒常,,,,
2428,"モグディガー",木,恒常,,,,
2431,"ベビーアーク",光,恒常,,,,
2434,"アンソニー・D",闇,恒常,,,,
2449,"ガウェイン",火,恒常,,,,
2452,"グィネヴィア",水,恒常,,,,
2455,"パーシヴァル",光,恒常,,,,
2476,"スコール",火,コラボ,,,,
2482,"ライトニング",光,コラボ,,,,
2485,"クラウド・ストライフ",闇,コラボ,,,,
2502,"ネフティス",水,恒常,,,,
2505,"トート",木,恒常,,,,
2508,"アトゥム",闇,恒常,,,,
2529,"エリザベス1世",火,恒常,,,,
2532,"巴御前",木,恒常,,,,
2535,"カラミティ・ジェーン",光,恒常,,,,
2550,"スクルド",火,恒常,,,,
2553,"ウルズ",水,恒常,,,,
2556,"ヘイムダル",光,恒常,,,,
2572,"ワルプルギス",火,限定,,,,
2575,"マルコ・ポーロ",水,恒常,,,,
2578,"マゼラン",木,恒常,,,,
2581,"コロンブス",闇,恒常,,,,
2607,"躯",火,コラボ,,,,
2611,"黄泉",木,コラボ,,,,
2613,"雷禅",光,コラボ,,,,
2633,"パック",水,恒常,,,,
2636,"ティターニア",光,恒常,,,,
2639,"オベロン",闇,恒常,,,,
2666,"大和",火,恒常,,,,
2669,"パンターG",木,恒常,,,,
2672,"P-47",闇,恒常,,,,
2688,"イソップ",水,恒常,,,,
2691,"ゲーテ",光,恒常,,,,
2694,"紫式部",闇,恒常,,,,
2722,"ノストラダムス",水,限定,,,,
2726,"紫苑",火,恒常,,,,
2729,"水仙",木,恒常,,,,
2732,"芙蓉",光,恒常,,,,
2746,"背徳ピストルズ",火,限定,,,,
2749,"Two for all",闇,限定,,,,
2764,"ロイ・マスタング",火,コラボ,,,,
2768,"エルリック兄弟",木,コラボ,,,,
2794,"竹中半兵衛",木,恒常,,,,
2797,"森蘭丸",光,恒常,,,,
2800,"長宗我部元親",闇,恒常,,,,
2838,"バーソロミュー・ロバーツ",火,恒常,,,,
2841,"エドワード・ティーチ",水,恒常,,,,
2844,"アルビダ",闇,恒常,,,,
2863,"サラスヴァティ",水,恒常,,,,
2866,"インドラ",木,恒常,,,,
2869,"ガネーシャ",光,恒常,,,,
2882,"バン",火,コラボ,,,,
2886,"キング",木,コラボ,,,,
2890,"メリオダス",闇,コラボ,,,,
2911,"ハンニバル",水,恒常,,,,
2914,"カメハメハ",光,恒常,,,,
2917,"リチャード1世",闇,恒常,,,,
2941,"ミロク",水,限定,,,,
2947,"フェルメール",火,恒常,,,,
2950,"雪舟",木,恒常,,,,
2953,"モネ",光,恒常,,,,
2984,"アレキサンドライト",火,恒常,,,,
2987,"クリスタル",水,恒常,,,,
2990,"オニキス",闇,恒常,,,,
3009,"クラピカ",木,コラボ,,,,
3011,"ゴン",光,コラボ,,,,
3014,"キルア",闇,コラボ,,,,
3031,"アップル",火,恒常,,,,
3034,"ミスターエンパイア",水,恒常,,,,
3037,"リバティ",光,恒常,,,,
3059,"ペリー",水,恒常,,,,
3062,"高杉晋作",木,恒常,,,,
3065,"吉田松陰",闇,恒常,,,,
3086,"マナ",火,限定,,,,
3099,"乙姫",木,恒常,,,,
3102,"金太郎",光,恒常,,,,
3105,"一休",闇,恒常,,,,
3119,"アヌ",火,恒常,,,,
3122,"マルドゥーク",木,恒常,,,,
3125,"イシュタル",光,恒常,,,,
3145,"ユウナ＆ティーダ",水,コラボ,,,,
3150,"セシル・ハーヴィ",闇,コラボ,,,,
3152,"ノクティス",闇,コラボ,,,,
3187,"アリナ",火,恒常,,,,
3190,"パーシィ",木,恒常,,,,
3193,"クエリー",光,恒常,,,,
3212,"アルテミス",水,恒常,,,,
3215,"オルフェウス",木,恒常,,,,
3218,"アキレウス",闇,恒常,,,,
3242,"弁財天",光,限定,,,,
3249,"打神鞭",火,恒常,,,,
3252,"天沼矛",水,恒常,,,,
3255,"アロンダイト",闇,恒常,,,,
3280,"サンダルフォン",光,限定,,,,
3294,"メタトロン",闇,限定,,,,
3299,"ザドキエル",木,限定,,,,
3316,"ラミエル",水,限定,,,,
3329,"カマエル",火,限定,,,,
3335,"神楽",火,コラボ,,,,
3337,"坂田銀時",水,コラボ,,,,
3342,"桂小太郎",光,コラボ,,,,
3363,"三千院ホトリ",木,恒常,,,,
3366,"フォルテ・N・明村",光,恒常,,,,
3369,"藤園イチト",闇,恒常,,,,
3387,"石川五右衛門",木,限定,,,,
3390,"ザビエル",火,恒常,,,,
3393,"毛利元就",水,恒常,,,,
3396,"前田利家＆まつ",光,恒常,,,,
3424,"ビゼー",火,恒常,,,,
3427,"ワーグナー",木,恒常,,,,
3430,"ムソルグスキー",闇,恒常,,,,
3450,"デビルズ・パンク・インフェルノ",光,限定,,,,
3464,"ノイシュヴァンシュタイン",水,恒常,,,,
3467,"シュリ",木,恒常,,,,
3470,"ヒメジ",闇,恒常,,,,
3495,"アスナ",水,コラボ,,,,
3499,"シノン",光,コラボ,,,,
3501,"キリト",闇,コラボ,,,,
3519,"ブリギッド",水,恒常,,,,
3522,"ルー",光,恒常,,,,
3525,"ヌアザ",闇,恒常,,,,
3541,"緋村剣心",火,コラボ,,,,
3546,"相楽左之助",木,コラボ,,,,
3548,"比古清十郎",光,コラボ,,,,
3570,"モーセ",水,限定,,,,
3574,"椿",火,恒常,,,,
3577,"向日葵",木,恒常,,,,
3580,"紫陽花",闇,恒常,,,,
3597,"ドナルド",水,コラボ,,,,
3599,"チップ＆デール",木,コラボ,,,,
3601,"ミッキー",光,コラボ,,,,
3659,"小野小町",火,限定,,,,
3663,"ケイ",水,恒常,,,,
